Tue Jun 27 21:52:45 2023    profiling_result.prof

         3524618 function calls (3519948 primitive calls) in 8.095 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      634    0.001    0.000    0.008    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1768(is_checkmate)
   107772    0.008    0.000    0.008    0.000 {built-in method builtins.abs}
     5101    0.007    0.000    0.007    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:667(attacks_mask)
    17864    0.007    0.000    0.007    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3399(_to_chess960)
    13917    0.005    0.000    0.007    0.000 {method 'join' of 'str' objects}
    46296    0.007    0.000    0.007    0.000 {method 'upper' of 'str' objects}
      865    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       61    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.006    0.006 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\logging\__init__.py:1(<module>)
       61    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
    28017    0.006    0.000    0.006    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2937(is_en_passant)
    15296    0.004    0.000    0.006    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:476(__eq__)
     3729    0.004    0.000    0.005    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\polyglot.py:264(hash_ep_square)
     2580    0.002    0.000    0.005    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2178(has_legal_en_passant)
    17896    0.004    0.000    0.004    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:473(__bool__)
        1    0.000    0.000    0.004    0.004 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\events.py:1(<module>)
    35728    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
        9    0.000    0.000    0.004    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\re.py:249(compile)
        9    0.000    0.000    0.004    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\re.py:288(_compile)
        9    0.000    0.000    0.004    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\sre_compile.py:783(compile)
       12    0.000    0.000    0.004    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\enum.py:536(_convert_)
28346/28337    0.004    0.000    0.004    0.000 {built-in method builtins.hash}
  329/307    0.000    0.000    0.004    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:306(inner)
        1    0.000    0.000    0.004    0.004 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\subprocess.py:758(__init__)
       23    0.001    0.000    0.004    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\enum.py:180(__new__)
