Tue Jun 27 21:54:29 2023    profiling_result.prof

         1976220 function calls (1971581 primitive calls) in 3.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\dataclasses.py:527(_init_fn)
       20    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2644(_algebraic)
     2539    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
      187    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     2537    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\base_events.py:513(_check_closed)
     2536    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\engine.py:394(pov)
      865    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
       68    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
     2537    0.001    0.000    0.001    0.000 {built-in method _contextvars.copy_context}
       20    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2649(_algebraic_and_push)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\base_futures.py:1(<module>)
      269    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFD37ADAD50}
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\logging\__init__.py:412(PercentStyle)
       44    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\sre_compile.py:292(_optimize_charset)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\threading.py:916(start)
       70    0.000    0.000    0.001    0.000 {method 'remove' of 'list' objects}
       23    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\enum.py:222(<setcomp>)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\threading.py:589(wait)
       94    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:947(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:322(<listcomp>)
